"Libellé";"idBank";"Période";"2010-01";"2010-02";"2010-03";"2010-04";"2010-05";"2010-06";"2010-07";"2010-08";"2010-09";"2010-10";"2010-11";"2010-12";"2011-01";"2011-02";"2011-03";"2011-04";"2011-05";"2011-06";"2011-07";"2011-08";"2011-09";"2011-10";"2011-11";"2011-12";"2012-01";"2012-02";"2012-03";"2012-04";"2012-05";"2012-06";"2012-07";"2012-08";"2012-09";"2012-10";"2012-11";"2012-12";"2013-01";"2013-02";"2013-03";"2013-04";"2013-05";"2013-06";"2013-07";"2013-08";"2013-09";"2013-10";"2013-11";"2013-12";"2014-01";"2014-02";"2014-03";"2014-04";"2014-05";"2014-06";"2014-07";"2014-08";"2014-09";"2014-10";"2014-11";"2014-12";"2015-01";"2015-02";"2015-03";"2015-04";"2015-05";"2015-06";"2015-07";"2015-08";"2015-09";"2015-10";"2015-11";"2015-12";"2016-01";"2016-02";"2016-03";"2016-04";"2016-05";"2016-06";"2016-07";"2016-08";"2016-09";"2016-10";"2016-11";"2016-12";"2017-01";"2017-02";"2017-03";"2017-04";"2017-05";"2017-06";"2017-07";"2017-08";"2017-09";"2017-10";"2017-11";"2017-12";"2018-01";"2018-02";"2018-03";"2018-04";"2018-05";"2018-06";"2018-07";"2018-08";"2018-09";"2018-10";"2018-11";"2018-12";"2019-01";"2019-02";"2019-03";"2019-04";"2019-05";"2019-06";"2019-07";"2019-08";"2019-09";"2019-10";"2019-11";"2019-12"
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - La Réunion - Série arrêtée";"001717242";"";"68.64";"55.99";"55.76";"65.7";"59.24";"41.15";"55.54";"59.45";"51.91";"81.56";"84.34";"75.86";"72.28";"67.84";"74.74";"77.23";"66.22";"48.72";"56.28";"68.83";"57.62";"85.58";"91.21";"83.82";"76.18";"67.84";"75.13";"76.47";"68.51";"48.33";"62.73";"65.08";"54.97";"74.97";"90.51";"79.46";"76.35";"61.01";"80.68";"65.74";"76.47";"51.69";"62.1";"69.44";"55.26";"83.18";"89.41";"78.63";"66.11";"62.12";"72.52";"67.22";"60.33";"46.47";"55.05";"67.72";"52.91";"82.57";"81.59";"75.31";"71.71";"62.5";"68.46";"69.75";"75.41";"56.18";"65.06";"73.74";"60.92";"94.6";"96.79";"90.73";"90.51";"73.11";"81.79";"80.07";"84.63";"60.97";"83.16";"85.22";"69.01";"100.89";"101.1";"95.28";"102.88";"73.31";"84.77";"95.92";"85.82";"67.7";"89.87";"105.82";"93.08";"125.78";"119.97";"123.56";"114.15";"91.7";"107.38";"110.7";"111.7";"82.28";"103.23";"116.53";"94.96";"132.75";"108.23";"107.29";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Île-de-France - Série arrêtée";"001711066";"";"2462.71";"2303.15";"2828.36";"2714.11";"2911.72";"2847.75";"2550.14";"2080.28";"2668.86";"2843.2";"2622.95";"2795.05";"2485.47";"2236.84";"2758.92";"2710.96";"2891.51";"2888.58";"2553.67";"2221.45";"2679.53";"2813.97";"2676.02";"2787.58";"2365.64";"2274.1";"2709.5";"2725.12";"2669.77";"2911.11";"2638.84";"2068.25";"2563.5";"2616.46";"2695.67";"2684.13";"2288.67";"2247.37";"2492.49";"2531.9";"2388.64";"2597.43";"2212.66";"1949.24";"2346.63";"2602.38";"2530.6";"2447.19";"2268.61";"2064.22";"2508.9";"2444.05";"2476.79";"2507.01";"2203.83";"2062.08";"2359.29";"2574.29";"2443.96";"2512.25";"2304.2";"2139.99";"2408.12";"2446.68";"2475.83";"2633.88";"2279.82";"1994.61";"2502.55";"2679.42";"2265.0";"2349.27";"2202.84";"2033.36";"2421.03";"2304.61";"2405.99";"2389.9";"2170.25";"1760.68";"2387.06";"2647.73";"2497.97";"2571.71";"2422.07";"2123.11";"2580.36";"2471.69";"2541.97";"2638.82";"2476.3";"1929.61";"2457.28";"2701.4";"2708.99";"2655.76";"2453.27";"2276.45";"2671.91";"2462.12";"2410.28";"2584.24";"2441.01";"2010.38";"2430.89";"2773.5";"2647.42";"2528.24";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Centre-Val de Loire - Série arrêtée";"001711062";"";"226.57";"247.74";"329.58";"376.22";"442.64";"455.52";"472.73";"457.31";"418.81";"375.11";"293.68";"262.21";"267.93";"255.22";"327.84";"380.89";"412.15";"490.59";"475.43";"452.62";"412.16";"392.54";"310.55";"267.99";"267.59";"279.95";"323.72";"407.27";"425.76";"447.49";"477.12";"450.87";"422.77";"372.42";"333.81";"252.41";"237.72";"245.74";"332.79";"351.29";"436.76";"432.57";"443.3";"452.77";"386.0";"380.39";"309.15";"265.46";"239.85";"245.25";"305.69";"376.75";"411.12";"440.27";"446.0";"411.9";"406.01";"372.56";"283.81";"258.78";"240.39";"277.76";"313.86";"376.85";"430.12";"432.62";"457.29";"447.29";"427.46";"406.44";"275.62";"276.63";"249.22";"278.25";"351.41";"397.57";"457.44";"454.34";"505.93";"509.63";"430.19";"425.18";"303.67";"278.93";"248.85";"272.01";"333.03";"428.11";"442.91";"467.49";"519.82";"494.16";"434.84";"405.76";"326.6";"297.19";"263.71";"274.76";"342.79";"420.93";"462.92";"469.22";"496.57";"487.94";"440.5";"411.74";"328.42";"291.27";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Bourgogne-Franche-Comté - Série arrêtée";"001738999";"";"291.74";"373.28";"403.37";"419.2";"482.02";"498.92";"532.17";"524.11";"489.49";"441.17";"352.07";"330.18";"307.94";"355.36";"394.98";"433.11";"453.78";"535.69";"540.11";"526.64";"492.11";"446.29";"367.02";"330.78";"313.04";"348.44";"393.65";"404.63";"464.57";"491.14";"524.13";"508.97";"479.57";"415.41";"367.92";"308.95";"281.22";"319.13";"405.3";"392.81";"466.93";"484.76";"502.81";"502.42";"466.16";"434.46";"338.7";"308.7";"285.88";"324.62";"369.94";"398.63";"435.46";"481.59";"474.66";"496.47";"453.3";"424.47";"334.0";"315.69";"294.08";"345.41";"371.56";"391.84";"469.6";"496.13";"492.52";"497.55";"479.94";"441.6";"345.31";"339.43";"294.43";"370.57";"395.11";"407.86";"484.06";"483.11";"529.57";"526.04";"468.75";"449.78";"378.21";"333.53";"308.47";"361.2";"390.42";"431.36";"474.61";"500.66";"551.07";"539.67";"491.42";"449.53";"369.85";"338.16";"306.35";"340.01";"414.3";"400.27";"471.63";"491.28";"511.54";"522.45";"488.7";"447.25";"363.56";"322.73";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Normandie - Série arrêtée";"001739011";"";"307.24";"335.33";"422.87";"551.26";"587.63";"561.58";"627.56";"687.55";"561.87";"501.46";"375.38";"317.67";"321.11";"376.84";"441.42";"590.23";"556.94";"627.17";"602.8";"663.28";"557.26";"557.15";"402.55";"338.67";"317.5";"359.75";"462.29";"530.14";"584.83";"571.24";"593.54";"681.81";"572.29";"487.51";"430.29";"343.76";"303.47";"326.91";"451.07";"468.63";"589.39";"577.01";"602.25";"670.49";"519.74";"496.42";"411.19";"332.03";"305.83";"354.25";"421.74";"497.43";"540.12";"560.33";"569.78";"635.69";"540.47";"501.4";"388.39";"329.85";"304.43";"353.56";"423.32";"516.97";"582.96";"559.76";"585.99";"627.74";"522.92";"490.25";"365.94";"358.46";"306.14";"358.02";"444.35";"487.04";"560.24";"522.83";"605.77";"663.88";"553.28";"552.42";"402.77";"367.83";"319.66";"381.27";"443.09";"570.99";"559.78";"573.38";"605.89";"654.85";"553.37";"522.27";"436.61";"368.23";"316.97";"361.79";"445.37";"546.89";"601.68";"588.15";"626.63";"696.49";"580.94";"540.1";"446.13";"383.37";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Hauts-de-France - Série arrêtée";"001739023";"";"404.15";"437.46";"529.83";"560.27";"600.12";"620.45";"563.32";"517.02";"587.73";"571.9";"480.49";"452.17";"443.61";"448.92";"535.29";"569.04";"594.44";"666.51";"579.83";"533.72";"592.63";"588.64";"495.13";"459.18";"430.17";"445.12";"529.77";"584.36";"598.64";"620.91";"553.25";"515.5";"584.35";"575.27";"538.28";"483.7";"431.01";"444.89";"542.82";"552.77";"603.83";"613.8";"582.62";"540.88";"574.1";"576.56";"540.1";"460.85";"420.53";"455.49";"526.04";"568.21";"604.44";"620.68";"559.23";"539.61";"599.57";"600.6";"517.6";"463.59";"448.16";"454.48";"526.18";"567.86";"598.49";"621.91";"574.7";"538.66";"626.41";"620.27";"544.02";"519.53";"475.35";"489.22";"570.46";"585.65";"634.35";"597.52";"570.49";"552.11";"596.59";"621.16";"526.95";"498.17";"450.35";"460.06";"557.8";"612.36";"601.58";"613.79";"588.29";"560.03";"618.07";"603.49";"555.4";"501.89";"457.68";"442.51";"524.85";"577.02";"601.01";"620.32";"574.75";"564.68";"595.47";"604.47";"553.72";"491.82";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Grand Est - Série arrêtée";"001739034";"";"497.81";"545.72";"632.5";"687.56";"785.44";"807.31";"752.33";"796.35";"818.75";"759.12";"619.75";"813.29";"528.48";"569.62";"680.98";"721.44";"803.13";"869.22";"808.52";"861.35";"836.33";"806.43";"673.78";"872.39";"526.41";"579.64";"675.53";"718.57";"814.16";"839.41";"795.64";"808.96";"850.06";"796.52";"728.82";"854.1";"545.54";"574.61";"694.27";"733.92";"844.84";"832.96";"806.07";"814.28";"813.18";"824.81";"704.14";"862.22";"556.18";"579.09";"650.62";"729.83";"805.52";"840.13";"781.1";"823.46";"844.12";"790.68";"668.95";"890.55";"546.4";"586.66";"660.85";"705.65";"845.69";"830.0";"786.9";"837.19";"844.9";"804.24";"657.61";"877.51";"536.84";"619.87";"708.78";"725.51";"830.73";"829.44";"806.89";"820.62";"826.98";"853.36";"718.18";"907.0";"559.9";"623.39";"694.98";"774.96";"843.12";"865.35";"861.2";"884.34";"872.7";"849.84";"776.54";"928.05";"589.63";"597.22";"699.66";"734.32";"811.58";"845.3";"806.07";"868.09";"867.75";"845.27";"755.45";"888.65";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Pays de la Loire - Série arrêtée";"001711072";"";"309.11";"318.54";"417.2";"460.81";"490.38";"561.23";"572.24";"632.58";"512.53";"438.31";"374.71";"334.53";"335.97";"357.15";"411.37";"499.21";"501.43";"632.17";"620.19";"636.64";"559.73";"490.31";"382.35";"354.41";"347.13";"360.1";"447.31";"470.48";"503.86";"584.89";"594.32";"649.99";"542.8";"450.49";"422.22";"340.03";"341.35";"354.69";"421.51";"442.8";"535.91";"576.71";"589.58";"704.15";"525.8";"468.19";"384.69";"315.24";"324.5";"345.56";"388.31";"474.2";"510.63";"605.65";"594.33";"693.86";"560.19";"455.22";"369.06";"334.04";"329.26";"340.66";"408.92";"503.66";"549.78";"613.5";"645.58";"724.98";"565.88";"478.87";"379.99";"357.97";"343.05";"378.52";"462.74";"528.3";"570.4";"621.98";"704.18";"758.18";"599.45";"521.44";"426.21";"377.74";"353.95";"370.95";"451.74";"573.52";"556.51";"644.35";"669.3";"750.62";"613.33";"512.84";"445.84";"391.57";"367.57";"394.33";"469.12";"573.27";"610.6";"668.92";"692.98";"790.43";"624.16";"547.13";"445.26";"381.32";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Bretagne - Série arrêtée";"001711061";"";"255.14";"305.72";"395.93";"515.72";"576.19";"573.32";"615.63";"789.65";"583.6";"460.95";"347.93";"295.76";"271.31";"327.93";"419.89";"553.33";"545.15";"665.75";"668.53";"796.96";"600.31";"529.47";"380.74";"318.72";"308.18";"344.05";"449.78";"543.09";"607.72";"599.51";"641.03";"786.33";"630.72";"466.17";"417.56";"329.35";"293.47";"319.43";"434.6";"493.8";"626.24";"583.74";"626.22";"852.91";"603.15";"489.71";"407.63";"332.43";"301.63";"344.61";"400.29";"504.44";"574.92";"583.76";"635.62";"802.96";"599.7";"506.21";"386.64";"337.62";"315.62";"363.63";"459.98";"528.89";"622.58";"610.68";"686.91";"837.97";"643.41";"520.09";"382.65";"363.43";"324.65";"390.66";"478.7";"538.18";"616.7";"610.48";"700.76";"844.21";"654.12";"577.59";"410.87";"376.98";"339.41";"391.25";"488.63";"607.0";"626.24";"651.68";"715.28";"877.86";"657.08";"553.45";"445.19";"379.62";"347.29";"375.33";"476.93";"551.84";"647.21";"636.28";"678.42";"879.66";"685.76";"546.66";"447.8";"380.37";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Nouvelle-Aquitaine - Série arrêtée";"001739046";"";"555.97";"682.27";"840.23";"1087.84";"1173.6";"1202.36";"1468.2";"1799.87";"1248.39";"1037.66";"768.77";"659.2";"576.02";"672.79";"892.26";"1150.68";"1181.71";"1362.94";"1541.83";"1860.85";"1324.42";"1119.89";"776.79";"652.67";"585.01";"678.91";"877.43";"1067.62";"1193.44";"1221.64";"1480.65";"1856.49";"1297.41";"1029.78";"854.68";"667.38";"615.87";"680.17";"914.2";"1021.78";"1270.32";"1206.5";"1414.35";"1887.68";"1250.39";"1071.44";"809.65";"674.27";"593.58";"655.15";"862.91";"1003.92";"1156.84";"1215.38";"1381.54";"1765.29";"1232.35";"1064.04";"739.52";"673.83";"605.74";"714.95";"858.19";"1095.73";"1217.67";"1231.64";"1454.35";"1837.6";"1280.48";"1129.34";"756.47";"732.44";"608.74";"746.18";"910.85";"1092.72";"1209.33";"1186.89";"1537.83";"1868.47";"1303.73";"1228.04";"829.46";"756.92";"619.64";"795.44";"922.57";"1225.3";"1202.36";"1255.62";"1559.34";"1885.21";"1292.05";"1167.51";"839.62";"718.16";"637.87";"709.13";"962.14";"1091.46";"1213.46";"1216.75";"1415.32";"1819.22";"1302.39";"1159.79";"855.11";"725.99";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Occitanie - Série arrêtée";"001739058";"";"534.4";"647.87";"736.66";"971.96";"1092.56";"1188.16";"1455.06";"1855.67";"1177.7";"971.16";"635.68";"573.37";"550.67";"648.27";"730.72";"985.03";"1095.09";"1272.21";"1582.48";"1863.31";"1260.11";"1080.17";"638.31";"575.25";"546.27";"650.01";"765.9";"1003.12";"1140.81";"1258.19";"1512.42";"1897.47";"1261.87";"1017.1";"687.52";"601.31";"531.9";"598.42";"781.55";"928.31";"1166.35";"1138.36";"1401.97";"1880.01";"1210.82";"962.61";"664.06";"591.4";"556.49";"631.08";"738.63";"905.16";"1069.89";"1163.75";"1347.71";"1788.41";"1146.64";"975.77";"618.71";"593.8";"570.59";"643.72";"725.93";"927.92";"1133.95";"1122.59";"1412.64";"1747.44";"1184.16";"971.21";"635.11";"620.83";"559.54";"683.82";"780.1";"953.71";"1082.29";"1156.51";"1430.76";"1782.39";"1188.85";"1033.05";"676.4";"635.08";"565.87";"678.06";"762.87";"1006.39";"1054.41";"1127.91";"1400.22";"1742.38";"1197.92";"1027.6";"697.67";"668.17";"597.66";"679.61";"796.92";"955.46";"1102.83";"1191.57";"1359.13";"1709.96";"1189.85";"1029.23";"699.9";"633.48";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Auvergne-Rhône-Alpes - Série arrêtée";"001739070";"";"1161.01";"1505.58";"1577.42";"1263.07";"1258.56";"1402.62";"1697.22";"1783.65";"1349.3";"1131.77";"920.71";"1192.41";"1231.46";"1530.25";"1573.99";"1319.54";"1246.59";"1514.44";"1793.56";"1915.43";"1448.27";"1254.05";"1017.37";"1252.2";"1254.59";"1629.88";"1668.83";"1252.07";"1251.2";"1459.14";"1706.06";"1889.54";"1407.6";"1200.41";"1095.56";"1295.84";"1301.55";"1497.51";"1847.26";"1246.72";"1338.84";"1493.21";"1744.3";"1910.95";"1400.9";"1220.71";"1035.01";"1243.7";"1187.93";"1507.82";"1559.37";"1199.98";"1220.24";"1413.66";"1637.9";"1937.75";"1365.69";"1231.85";"950.75";"1289.67";"1266.02";"1614.34";"1578.61";"1252.02";"1329.26";"1469.87";"1715.18";"1893.62";"1423.34";"1243.53";"969.39";"1212.1";"1321.83";"1702.25";"1662.09";"1322.2";"1383.36";"1463.41";"1796.22";"1886.7";"1419.45";"1333.28";"1047.6";"1253.44";"1326.43";"1693.33";"1570.79";"1345.92";"1310.82";"1509.71";"1806.94";"1921.95";"1449.89";"1317.54";"1113.5";"1270.75";"1271.09";"1551.92";"1722.04";"1312.37";"1356.26";"1509.71";"1716.73";"1929.55";"1462.89";"1319.39";"1108.27";"1246.89";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";"";"";"";"";"";"";""
"Nuitées dans l'hôtellerie - Résidents - Provence-Alpes-Côte d'Azur - Série arrêtée";"001711075";"";"740.79";"897.76";"976.26";"1111.68";"1269.81";"1328.67";"1676.86";"1892.89";"1262.6";"953.83";"673.02";"667.89";"691.63";"844.19";"967.05";"1094.64";"1214.29";"1412.13";"1727.88";"1967.67";"1368.51";"1088.92";"738.06";"706.56";"721.86";"894.32";"1043.33";"1112.57";"1220.22";"1336.81";"1648.38";"2017.05";"1318.31";"1031.17";"739.05";"717.72";"671.28";"785.36";"957.83";"984.31";"1326.35";"1365.79";"1529.88";"1943.31";"1284.31";"1020.24";"757.41";"654.32";"693.02";"806.09";"970.14";"1047.31";"1300.31";"1304.2";"1482.9";"1881.81";"1198.67";"977.46";"645.62";"666.35";"707.14";"847.34";"919.63";"1097.06";"1293.66";"1279.79";"1529.94";"1833.5";"1237.38";"1022.09";"694.38";"673.98";"710.98";"879.88";"999.36";"1107.33";"1250.48";"1219.32";"1547.47";"1820.4";"1252.54";"1056.58";"750.46";"748.66";"735.96";"863.21";"980.81";"1245.49";"1240.47";"1278.61";"1622.75";"1925.5";"1302.12";"1125.72";"791.97";"740.94";"754.81";"850.8";"1027.02";"1107.88";"1220.05";"1334.2";"1530.24";"1919.0";"1331.76";"1075.36";"820.16";"786.59";"";"";"";"";"";"";"";"";"";"";"";""
